state	ethical_motive	['hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hyponym', 'hyponym']	[Synset('state.n.01'), Synset('administrative_district.n.01'), Synset('district.n.01'), Synset('region.n.03'), Synset('location.n.01'), Synset('object.n.01'), Synset('physical_entity.n.01'), Synset('entity.n.01'), Synset('abstraction.n.06'), Synset('psychological_feature.n.01'), Synset('motivation.n.01'), Synset('ethical_motive.n.01')]	11
state	news	['hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hyponym', 'hypernym', 'hypernym', 'hypernym']	[Synset('state.n.01'), Synset('administrative_district.n.01'), Synset('district.n.01'), Synset('region.n.03'), Synset('location.n.01'), Synset('object.n.01'), Synset('physical_entity.n.01'), Synset('entity.n.01'), Synset('abstraction.n.06'), Synset('communication.n.02'), Synset('message.n.02'), Synset('information.n.01'), Synset('news.n.02')]	12
state	state	[]	[Synset('state.n.01')]	0
nixon	agnew	[]	None	None
united states	theodore	[]	None	None
united states	theodore	[]	None	None
election	nj	[]	None	-1
vote	state	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('vote.n.01'), Synset('choice.n.02'), Synset('action.n.01'), Synset('act.n.02'), Synset('event.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('entity.n.01'), Synset('physical_entity.n.01'), Synset('object.n.01'), Synset('location.n.01'), Synset('region.n.03'), Synset('district.n.01'), Synset('administrative_district.n.01'), Synset('state.n.01')]	14
charge	theodore	[]	None	None
plan	reporter	['hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'holonym', 'hypernym', 'hypernym']	[Synset('plan.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('group.n.01'), Synset('people.n.01'), Synset('person.n.01'), Synset('communicator.n.01'), Synset('reporter.n.01')]	10
united states	spiro	[]	None	None
united states	spiro	[]	None	None
charge	medium	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('charge.n.01'), Synset('attack.n.01'), Synset('operation.n.05'), Synset('activity.n.01'), Synset('act.n.02'), Synset('event.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('entity.n.01'), Synset('physical_entity.n.01'), Synset('object.n.01'), Synset('location.n.01'), Synset('region.n.03'), Synset('geographical_area.n.01'), Synset('environment.n.02'), Synset('medium.n.02')]	15
united states	politics	[]	None	None
politician	east	['hypernym', 'hypernym', 'holonym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym', 'hypernym']	[Synset('politician.n.01'), Synset('leader.n.01'), Synset('person.n.01'), Synset('people.n.01'), Synset('group.n.01'), Synset('abstraction.n.06'), Synset('relation.n.01'), Synset('position.n.07'), Synset('direction.n.02'), Synset('compass_point.n.01'), Synset('cardinal_compass_point.n.01'), Synset('east.n.01')]	11
say	spiro	[]	None	None
united states	office	[]	None	None
plan	medium	['hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('plan.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('entity.n.01'), Synset('physical_entity.n.01'), Synset('object.n.01'), Synset('location.n.01'), Synset('region.n.03'), Synset('geographical_area.n.01'), Synset('environment.n.02'), Synset('medium.n.02')]	13
politician	government	['hypernym', 'hypernym', 'holonym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('politician.n.01'), Synset('leader.n.01'), Synset('person.n.01'), Synset('people.n.01'), Synset('group.n.01'), Synset('social_group.n.01'), Synset('organization.n.01'), Synset('polity.n.02'), Synset('government.n.01')]	8
election	reporter	['hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'holonym', 'hypernym', 'hypernym']	[Synset('election.n.01'), Synset('vote.n.02'), Synset('group_action.n.01'), Synset('event.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('group.n.01'), Synset('people.n.01'), Synset('person.n.01'), Synset('communicator.n.01'), Synset('reporter.n.01')]	10
vote	politics	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('vote.n.01'), Synset('choice.n.02'), Synset('action.n.01'), Synset('act.n.02'), Synset('event.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('relation.n.01'), Synset('social_relation.n.01'), Synset('politics.n.01')]	9
plan	east	['hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym', 'hypernym']	[Synset('plan.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('relation.n.01'), Synset('position.n.07'), Synset('direction.n.02'), Synset('compass_point.n.01'), Synset('cardinal_compass_point.n.01'), Synset('east.n.01')]	11
charge	nj	[]	None	-1
plan	spiro	[]	None	None
united states	jersey	[]	None	None
politician	ethical_motive	['hypernym', 'hypernym', 'holonym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym']	[Synset('politician.n.01'), Synset('leader.n.01'), Synset('person.n.01'), Synset('people.n.01'), Synset('group.n.01'), Synset('abstraction.n.06'), Synset('psychological_feature.n.01'), Synset('motivation.n.01'), Synset('ethical_motive.n.01')]	8
politician	news	['hypernym', 'hypernym', 'holonym', 'hypernym', 'hypernym', 'hyponym', 'hypernym', 'hypernym', 'hypernym']	[Synset('politician.n.01'), Synset('leader.n.01'), Synset('person.n.01'), Synset('people.n.01'), Synset('group.n.01'), Synset('abstraction.n.06'), Synset('communication.n.02'), Synset('message.n.02'), Synset('information.n.01'), Synset('news.n.02')]	9
plan	election	['hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hyponym']	[Synset('plan.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('event.n.01'), Synset('group_action.n.01'), Synset('vote.n.02'), Synset('election.n.01')]	8
election	medium	['hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('election.n.01'), Synset('vote.n.02'), Synset('group_action.n.01'), Synset('event.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('entity.n.01'), Synset('physical_entity.n.01'), Synset('object.n.01'), Synset('location.n.01'), Synset('region.n.03'), Synset('geographical_area.n.01'), Synset('environment.n.02'), Synset('medium.n.02')]	13
charge	hindrance	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym']	[Synset('charge.n.01'), Synset('attack.n.01'), Synset('operation.n.05'), Synset('activity.n.01'), Synset('act.n.02'), Synset('hindrance.n.03')]	5
charge	office	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('charge.n.01'), Synset('attack.n.01'), Synset('operation.n.05'), Synset('activity.n.01'), Synset('act.n.02'), Synset('event.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('group.n.01'), Synset('arrangement.n.02'), Synset('flower_arrangement.n.01'), Synset('decoration.n.01'), Synset('artifact.n.01'), Synset('structure.n.01'), Synset('establishment.n.04'), Synset('place_of_business.n.01'), Synset('office.n.01')]	16
charge	jersey	[]	None	-1
election	spiro	[]	None	None
nixon	newsmen	[]	None	-1
politician	state	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('politician.n.01'), Synset('leader.n.01'), Synset('person.n.01'), Synset('causal_agent.n.01'), Synset('physical_entity.n.01'), Synset('object.n.01'), Synset('location.n.01'), Synset('region.n.03'), Synset('district.n.01'), Synset('administrative_district.n.01'), Synset('state.n.01')]	10
politician	israeliarab	[]	None	None
election	governor	['hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'holonym', 'hypernym', 'hypernym', 'hyponym']	[Synset('election.n.01'), Synset('vote.n.02'), Synset('group_action.n.01'), Synset('event.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('group.n.01'), Synset('people.n.01'), Synset('person.n.01'), Synset('leader.n.01'), Synset('politician.n.01'), Synset('governor.n.01')]	11
election	jersey	[]	None	-1
party	agnew	[]	None	None
charge	new	[]	None	-1
politician	center	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hyponym', 'hypernym']	[Synset('politician.n.01'), Synset('leader.n.01'), Synset('person.n.01'), Synset('causal_agent.n.01'), Synset('physical_entity.n.01'), Synset('object.n.01'), Synset('location.n.01'), Synset('region.n.03'), Synset('area.n.01'), Synset('center.n.01')]	9
vote	united	[]	None	-1
united states	elections	[]	None	None
party	spiro	[]	None	None
plan	governor	['hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'holonym', 'hypernym', 'hypernym', 'hyponym']	[Synset('plan.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('group.n.01'), Synset('people.n.01'), Synset('person.n.01'), Synset('leader.n.01'), Synset('politician.n.01'), Synset('governor.n.01')]	11
party	election	['holonym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym']	[Synset('party.n.01'), Synset('political_system.n.01'), Synset('social_group.n.01'), Synset('group.n.01'), Synset('abstraction.n.06'), Synset('psychological_feature.n.01'), Synset('event.n.01'), Synset('group_action.n.01'), Synset('vote.n.02'), Synset('election.n.01')]	9
nixon	theodore	[]	None	None
election	politics	['hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('election.n.01'), Synset('vote.n.02'), Synset('group_action.n.01'), Synset('event.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('relation.n.01'), Synset('social_relation.n.01'), Synset('politics.n.01')]	8
election	conflict	['hyponym', 'hypernym', 'hypernym']	[Synset('election.n.01'), Synset('vote.n.02'), Synset('group_action.n.01'), Synset('conflict.n.01')]	3
vote	new	[]	None	-1
charge	election	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym', 'hypernym', 'hyponym']	[Synset('charge.n.01'), Synset('attack.n.01'), Synset('operation.n.05'), Synset('activity.n.01'), Synset('act.n.02'), Synset('group_action.n.01'), Synset('vote.n.02'), Synset('election.n.01')]	7
nixon	israeliarab	[]	None	None
read	unite	['hypernym', 'hypernym']	[Synset('read.v.02'), Synset('have.v.02'), Synset('unite.v.03')]	2
politician	reporter	['hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('politician.n.01'), Synset('leader.n.01'), Synset('person.n.01'), Synset('communicator.n.01'), Synset('reporter.n.01')]	4
election	center	['hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hyponym', 'hypernym']	[Synset('election.n.01'), Synset('vote.n.02'), Synset('group_action.n.01'), Synset('event.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('entity.n.01'), Synset('physical_entity.n.01'), Synset('object.n.01'), Synset('location.n.01'), Synset('region.n.03'), Synset('area.n.01'), Synset('center.n.01')]	12
vote	spiro	[]	None	None
nixon	office	[]	None	-1
charge	conflict	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym', 'hypernym']	[Synset('charge.n.01'), Synset('attack.n.01'), Synset('operation.n.05'), Synset('activity.n.01'), Synset('act.n.02'), Synset('group_action.n.01'), Synset('conflict.n.01')]	6
politician	governor	['hyponym']	[Synset('politician.n.01'), Synset('governor.n.01')]	1
election	israeliarab	[]	None	None
say	newark	[]	None	-1
state	agnew	[]	None	None
say	theodore	[]	None	None
party	governor	['hypernym', 'holonym', 'hyponym', 'hypernym', 'hypernym', 'hyponym']	[Synset('party.n.01'), Synset('democratic_party.n.01'), Synset('democrat.n.01'), Synset('politician.n.02'), Synset('leader.n.01'), Synset('politician.n.01'), Synset('governor.n.01')]	6
nixon	ethics	[]	None	-1
nixon	news	[]	None	-1
plan	state	['hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('plan.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('entity.n.01'), Synset('physical_entity.n.01'), Synset('object.n.01'), Synset('location.n.01'), Synset('region.n.03'), Synset('district.n.01'), Synset('administrative_district.n.01'), Synset('state.n.01')]	13
say	medium	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym', 'hyponym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('say.n.01'), Synset('opportunity.n.01'), Synset('possibility.n.02'), Synset('being.n.01'), Synset('state.n.02'), Synset('attribute.n.02'), Synset('abstraction.n.06'), Synset('entity.n.01'), Synset('physical_entity.n.01'), Synset('object.n.01'), Synset('location.n.01'), Synset('region.n.03'), Synset('geographical_area.n.01'), Synset('environment.n.02'), Synset('medium.n.02')]	14
nixon	government	[]	None	-1
election	united	[]	None	-1
united states	agnew	[]	None	None
united states	agnew	[]	None	None
election	ethical_motive	['hyponym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym']	[Synset('election.n.01'), Synset('vote.n.02'), Synset('group_action.n.01'), Synset('event.n.01'), Synset('psychological_feature.n.01'), Synset('motivation.n.01'), Synset('ethical_motive.n.01')]	6
